importer_iso3,canal,RP_ic
CHL,Strait of Hormuz,32.826616423088005
CHL,Suez Canal,13.792030038621512
CHL,Taiwan Strait,30.86788960748602
CHN,Gibraltar Strait,3544.6131074585605
CHN,Malacca Strait,6609.395714878658
CHN,Panama Canal,4344.63478965282
CHN,Strait of Hormuz,11701.529697836551
CHN,Suez Canal,8968.431901830203
CHN,Taiwan Strait,14702.430885090109
CIV,Gibraltar Strait,NA
CIV,Malacca Strait,NA
CIV,Panama Canal,NA
CIV,Strait of Hormuz,NA
CIV,Suez Canal,NA
CIV,Taiwan Strait,NA
CMR,Gibraltar Strait,NA
CMR,Malacca Strait,NA
CMR,Panama Canal,NA
CMR,Strait of Hormuz,NA
CMR,Suez Canal,NA
CMR,Taiwan Strait,NA
COD,Gibraltar Strait,NA
COD,Malacca Strait,NA
COD,Panama Canal,NA
COD,Strait of Hormuz,NA
COD,Suez Canal,NA
COD,Taiwan Strait,NA
COG,Gibraltar Strait,NA
COG,Malacca Strait,NA
COG,Panama Canal,NA
COG,Strait of Hormuz,NA
COG,Suez Canal,NA
COG,Taiwan Strait,NA
COL,Gibraltar Strait,701.8604522271163
COL,Malacca Strait,10.336837663873888
COL,Panama Canal,791.1702506610197
COL,Strait of Hormuz,16.96119342603781
COL,Suez Canal,91.91707030417837
COL,Taiwan Strait,9.594304416671951
COM,Gibraltar Strait,NA
COM,Malacca Strait,NA
COM,Panama Canal,NA
COM,Strait of Hormuz,NA
COM,Suez Canal,NA
COM,Taiwan Strait,NA
CPV,Gibraltar Strait,NA
CPV,Malacca Strait,NA
CPV,Panama Canal,NA
CPV,Strait of Hormuz,NA
CPV,Suez Canal,NA
CPV,Taiwan Strait,NA
CRI,Gibraltar Strait,NA
CRI,Malacca Strait,NA
CRI,Panama Canal,NA
CRI,Strait of Hormuz,NA
CRI,Suez Canal,NA
CRI,Taiwan Strait,NA
CUB,Gibraltar Strait,NA
CUB,Malacca Strait,NA
CUB,Panama Canal,NA
CUB,Strait of Hormuz,NA
CUB,Suez Canal,NA
CUB,Taiwan Strait,NA
CUW,Gibraltar Strait,NA
CUW,Malacca Strait,NA
CUW,Panama Canal,NA
CUW,Strait of Hormuz,NA
CUW,Suez Canal,NA
CUW,Taiwan Strait,NA
CYM,Gibraltar Strait,NA
CYM,Malacca Strait,NA
CYM,Panama Canal,NA
CYM,Strait of Hormuz,NA
CYM,Suez Canal,NA
CYM,Taiwan Strait,NA
CYP,Gibraltar Strait,NA
CYP,Malacca Strait,NA
CYP,Panama Canal,NA
CYP,Strait of Hormuz,NA
CYP,Suez Canal,NA
CYP,Taiwan Strait,NA
CZE,Gibraltar Strait,NA
CZE,Malacca Strait,NA
CZE,Panama Canal,NA
CZE,Strait of Hormuz,NA
CZE,Suez Canal,NA
