importer_iso3,canal,RP_ic
PER,Malacca Strait,0.9024676575470216
PER,Panama Canal,114.33618699948276
PER,Strait of Hormuz,1.118875613758444
PER,Suez Canal,1.9351321492753708
PER,Taiwan Strait,23.56711816357179
PHL,Gibraltar Strait,0
PHL,Malacca Strait,0
PHL,Panama Canal,0
PHL,Strait of Hormuz,0
PHL,Suez Canal,0
PHL,Taiwan Strait,0
PLW,Gibraltar Strait,NA
PLW,Malacca Strait,NA
PLW,Panama Canal,NA
PLW,Strait of Hormuz,NA
PLW,Suez Canal,NA
PLW,Taiwan Strait,NA
PNG,Gibraltar Strait,NA
PNG,Malacca Strait,NA
PNG,Panama Canal,NA
PNG,Strait of Hormuz,NA
PNG,Suez Canal,NA
PNG,Taiwan Strait,NA
POL,Gibraltar Strait,340.7968204915419
POL,Malacca Strait,54.39759089946554
POL,Panama Canal,11.973751324374065
POL,Strait of Hormuz,58.95478912292995
POL,Suez Canal,303.364454336954
POL,Taiwan Strait,14.081981407952789
PRK,Gibraltar Strait,NA
PRK,Malacca Strait,NA
PRK,Panama Canal,NA
PRK,Strait of Hormuz,NA
PRK,Suez Canal,NA
PRK,Taiwan Strait,NA
PRT,Gibraltar Strait,507.329882863257
PRT,Malacca Strait,15.699729531451581
PRT,Panama Canal,17.859352052102796
PRT,Strait of Hormuz,8.249680526208968
PRT,Suez Canal,75.3517962717142
PRT,Taiwan Strait,8.949107883679183
PRY,Gibraltar Strait,NA
PRY,Malacca Strait,NA
PRY,Panama Canal,NA
PRY,Strait of Hormuz,NA
PRY,Suez Canal,NA
PRY,Taiwan Strait,NA
PSE,Gibraltar Strait,NA
PSE,Malacca Strait,NA
PSE,Panama Canal,NA
PSE,Strait of Hormuz,NA
PSE,Suez Canal,NA
PSE,Taiwan Strait,NA
PYF,Gibraltar Strait,NA
PYF,Malacca Strait,NA
PYF,Panama Canal,NA
PYF,Strait of Hormuz,NA
PYF,Suez Canal,NA
PYF,Taiwan Strait,NA
QAT,Gibraltar Strait,20.229634463588212
QAT,Malacca Strait,33.88914611683302
QAT,Panama Canal,0.21697305093208882
QAT,Strait of Hormuz,281.83305327306397
QAT,Suez Canal,34.162584349425245
QAT,Taiwan Strait,21.947342532139963
ROU,Gibraltar Strait,17.642729594089612
ROU,Malacca Strait,1.714417197171884
ROU,Panama Canal,0.5657107179622161
ROU,Strait of Hormuz,2.9911342430554133
ROU,Suez Canal,18.457044544440482
ROU,Taiwan Strait,1.0229909241716098
RUS,Gibraltar Strait,1098.062893153837
RUS,Malacca Strait,1358.6605291373605
RUS,Panama Canal,97.34023594578424
RUS,Strait of Hormuz,31.326609157597304
RUS,Suez Canal,4949.742970512074
RUS,Taiwan Strait,1153.7414138823463
RWA,Gibraltar Strait,NA
RWA,Malacca Strait,NA
RWA,Panama Canal,NA
RWA,Strait of Hormuz,NA
RWA,Suez Canal,NA
RWA,Taiwan Strait,NA
SAU,Gibraltar Strait,96.02656056005645
SAU,Malacca Strait,129.85685584228787
SAU,Panama Canal,6.416617844899884
SAU,Strait of Hormuz,760.5548991984199
SAU,Suez Canal,131.8184680962475
SAU,Taiwan Strait,98.87708672574443
SDN,Gibraltar Strait,NA
SDN,Malacca Strait,NA
SDN,Panama Canal,NA
SDN,Strait of Hormuz,NA
SDN,Suez Canal,NA
SDN,Taiwan Strait,NA
SEN,Gibraltar Strait,NA
SEN,Malacca Strait,NA
SEN,Panama Canal,NA
SEN,Strait of Hormuz,NA
SEN,Suez Canal,NA
SEN,Taiwan Strait,NA
SGP,Gibraltar Strait,61.71447285272299
SGP,Malacca Strait,69.78537626670884
SGP,Panama Canal,0.21383628632538418
SGP,Strait of Hormuz,92.58086779149176
SGP,Suez Canal,70.166401380181
SGP,Taiwan Strait,14.74957363241468
SLB,Gibraltar Strait,NA
SLB,Malacca Strait,NA
SLB,Panama Canal,NA
SLB,Strait of Hormuz,NA
SLB,Suez Canal,NA
SLB,Taiwan Strait,NA
SLE,Gibraltar Strait,NA
SLE,Malacca Strait,NA
SLE,Panama Canal,NA
SLE,Strait of Hormuz,NA
SLE,Suez Canal,NA
SLE,Taiwan Strait,NA
SLV,Gibraltar Strait,NA
SLV,Malacca Strait,NA
SLV,Panama Canal,NA
SLV,Strait of Hormuz,NA
SLV,Suez Canal,NA
SLV,Taiwan Strait,NA
SOM,Gibraltar Strait,NA
SOM,Malacca Strait,NA
SOM,Panama Canal,NA
SOM,Strait of Hormuz,NA
SOM,Suez Canal,NA
SOM,Taiwan Strait,NA
SRB,Gibraltar Strait,NA
SRB,Malacca Strait,NA
SRB,Panama Canal,NA
SRB,Strait of Hormuz,NA
SRB,Suez Canal,NA
SRB,Taiwan Strait,NA
SSD,Gibraltar Strait,NA
SSD,Malacca Strait,NA
SSD,Panama Canal,NA
SSD,Strait of Hormuz,NA
SSD,Suez Canal,NA
SSD,Taiwan Strait,NA
STP,Gibraltar Strait,NA
STP,Malacca Strait,NA
STP,Panama Canal,NA
STP,Strait of Hormuz,NA
STP,Suez Canal,NA
STP,Taiwan Strait,NA
SUR,Gibraltar Strait,NA
SUR,Malacca Strait,NA
SUR,Panama Canal,NA
SUR,Strait of Hormuz,NA
SUR,Suez Canal,NA
SUR,Taiwan Strait,NA
SVK,Gibraltar Strait,0
SVK,Malacca Strait,0
SVK,Panama Canal,0
SVK,Strait of Hormuz,0
SVK,Suez Canal,0
SVK,Taiwan Strait,0
SVN,Gibraltar Strait,0.4985145347023326
SVN,Malacca Strait,0.06025505597639071
SVN,Panama Canal,0.10765569684554015
SVN,Strait of Hormuz,0.020274813440707504
SVN,Suez Canal,0.33772778693383804
SVN,Taiwan Strait,0.024812185860647967
SWE,Gibraltar Strait,478.6215550038987
SWE,Malacca Strait,49.247571711346794
SWE,Panama Canal,22.801401230761122
SWE,Strait of Hormuz,91.6347770322991
SWE,Suez Canal,277.3345019634744
SWE,Taiwan Strait,14.139948632425792
SXM,Gibraltar Strait,NA
SXM,Malacca Strait,NA
SXM,Panama Canal,NA
SXM,Strait of Hormuz,NA
SXM,Suez Canal,NA
SXM,Taiwan Strait,NA
SYC,Gibraltar Strait,NA
SYC,Malacca Strait,NA
SYC,Panama Canal,NA
SYC,Strait of Hormuz,NA
SYC,Suez Canal,NA
SYC,Taiwan Strait,NA
TCA,Gibraltar Strait,NA
TCA,Malacca Strait,NA
TCA,Panama Canal,NA
TCA,Strait of Hormuz,NA
TCA,Suez Canal,NA
TCA,Taiwan Strait,NA
TCD,Gibraltar Strait,NA
TCD,Malacca Strait,NA
TCD,Panama Canal,NA
TCD,Strait of Hormuz,NA
TCD,Suez Canal,NA
TCD,Taiwan Strait,NA
TGO,Gibraltar Strait,NA
TGO,Malacca Strait,NA
TGO,Panama Canal,NA
TGO,Strait of Hormuz,NA
TGO,Suez Canal,NA
TGO,Taiwan Strait,NA
THA,Gibraltar Strait,261.69722926561326
THA,Malacca Strait,640.9178643506548
THA,Panama Canal,22.619050264178796
THA,Strait of Hormuz,305.37392585692936
THA,Suez Canal,378.3181432900558
THA,Taiwan Strait,270.97881693051295
TJK,Gibraltar Strait,NA
TJK,Malacca Strait,NA
TJK,Panama Canal,NA
TJK,Strait of Hormuz,NA
TJK,Suez Canal,NA
TJK,Taiwan Strait,NA
TKM,Gibraltar Strait,0.36711127365505763
TKM,Malacca Strait,3.277040153242885
TKM,Panama Canal,0.0015220058867971124
TKM,Strait of Hormuz,15.73002770762276
TKM,Suez Canal,2.1769821485482437
TKM,Taiwan Strait,3.2549416118791963
TLS,Gibraltar Strait,NA
TLS,Malacca Strait,NA
TLS,Panama Canal,NA
TLS,Strait of Hormuz,NA
TLS,Suez Canal,NA
TLS,Taiwan Strait,NA
TON,Gibraltar Strait,NA
TON,Malacca Strait,NA
TON,Panama Canal,NA
TON,Strait of Hormuz,NA
TON,Suez Canal,NA
TON,Taiwan Strait,NA
TTO,Gibraltar Strait,NA
TTO,Malacca Strait,NA
TTO,Panama Canal,NA
TTO,Strait of Hormuz,NA
TTO,Suez Canal,NA
TTO,Taiwan Strait,NA
TUN,Gibraltar Strait,NA
TUN,Malacca Strait,NA
TUN,Panama Canal,NA
TUN,Strait of Hormuz,NA
TUN,Suez Canal,NA
TUN,Taiwan Strait,NA
TUR,Gibraltar Strait,549.0860934988646
TUR,Malacca Strait,58.29878309694043
TUR,Panama Canal,56.806428941936304
TUR,Strait of Hormuz,118.64663356158906
TUR,Suez Canal,344.4558566889144
TUR,Taiwan Strait,29.177735775496746
TUV,Gibraltar Strait,NA
TUV,Malacca Strait,NA
TUV,Panama Canal,NA
TUV,Strait of Hormuz,NA
TUV,Suez Canal,NA
TUV,Taiwan Strait,NA
TWN,Gibraltar Strait,NA
TWN,Malacca Strait,NA
TWN,Panama Canal,NA
TWN,Strait of Hormuz,NA
TWN,Suez Canal,NA
TWN,Taiwan Strait,NA
TZA,Gibraltar Strait,NA
TZA,Malacca Strait,NA
TZA,Panama Canal,NA
TZA,Strait of Hormuz,NA
TZA,Suez Canal,NA
TZA,Taiwan Strait,NA
UGA,Gibraltar Strait,NA
UGA,Malacca Strait,NA
UGA,Panama Canal,NA
UGA,Strait of Hormuz,NA
UGA,Suez Canal,NA
UGA,Taiwan Strait,NA
UKR,Gibraltar Strait,77.51067652790253
UKR,Malacca Strait,32.189282879070035
UKR,Panama Canal,5.594430783875571
UKR,Strait of Hormuz,9.97837062481644
UKR,Suez Canal,132.11850873960188
UKR,Taiwan Strait,22.1888221865667
URY,Gibraltar Strait,NA
URY,Malacca Strait,NA
URY,Panama Canal,NA
URY,Strait of Hormuz,NA
URY,Suez Canal,NA
URY,Taiwan Strait,NA
USA,Gibraltar Strait,27538.093635037498
USA,Malacca Strait,3376.6313898453336
USA,Panama Canal,29135.431260722307
USA,Strait of Hormuz,4539.364481216769
USA,Suez Canal,14464.201532141311
USA,Taiwan Strait,2235.8145930669725
UZB,Gibraltar Strait,0
UZB,Malacca Strait,0
UZB,Panama Canal,0
UZB,Strait of Hormuz,0
UZB,Suez Canal,0
UZB,Taiwan Strait,0
VCT,Gibraltar Strait,NA
VCT,Malacca Strait,NA
VCT,Panama Canal,NA
VCT,Strait of Hormuz,NA
VCT,Suez Canal,NA
VCT,Taiwan Strait,NA
VEN,Gibraltar Strait,NA
VEN,Malacca Strait,NA
VEN,Panama Canal,NA
VEN,Strait of Hormuz,NA
VEN,Suez Canal,NA
VEN,Taiwan Strait,NA
VGB,Gibraltar Strait,NA
VGB,Malacca Strait,NA
VGB,Panama Canal,NA
VGB,Strait of Hormuz,NA
VGB,Suez Canal,NA
VGB,Taiwan Strait,NA
VNM,Gibraltar Strait,22.83572080093862
VNM,Malacca Strait,28.590021057714598
VNM,Panama Canal,11.859548025014856
VNM,Strait of Hormuz,31.41523207812403
VNM,Suez Canal,32.79211026982028
VNM,Taiwan Strait,31.73074031708743
VUT,Gibraltar Strait,NA
VUT,Malacca Strait,NA
VUT,Panama Canal,NA
VUT,Strait of Hormuz,NA
VUT,Suez Canal,NA
VUT,Taiwan Strait,NA
WSM,Gibraltar Strait,NA
WSM,Malacca Strait,NA
WSM,Panama Canal,NA
WSM,Strait of Hormuz,NA
WSM,Suez Canal,NA
WSM,Taiwan Strait,NA
YEM,Gibraltar Strait,NA
YEM,Malacca Strait,NA
YEM,Panama Canal,NA
YEM,Strait of Hormuz,NA
YEM,Suez Canal,NA
YEM,Taiwan Strait,NA
ZAF,Gibraltar Strait,43.34015741801087
ZAF,Malacca Strait,28.59466558218357
ZAF,Panama Canal,0.708924976437884
ZAF,Strait of Hormuz,19.533642543660804
ZAF,Suez Canal,22.419364089929076
ZAF,Taiwan Strait,43.77191958861741
ZMB,Gibraltar Strait,NA
ZMB,Malacca Strait,NA
ZMB,Panama Canal,NA
ZMB,Strait of Hormuz,NA
ZMB,Suez Canal,NA
ZMB,Taiwan Strait,NA
ZWE,Gibraltar Strait,NA
ZWE,Malacca Strait,NA
ZWE,Panama Canal,NA
ZWE,Strait of Hormuz,NA
ZWE,Suez Canal,NA
ZWE,Taiwan Strait,NA
