"","importer_iso3","canal","q_sea_predict","v_sea_predict","q_sea_import","v_sea_import","q_sea_export","v_sea_export","q_canal","v_canal","q_canal_import","q_canal_export","v_canal_import","v_canal_export","share_q","dep_share_sea","oil_v_total","oil_q_total","oil_q_canal","oil_v_canal","dep_oil_share_q","dep_oil_share_v","criticality_oil_tonnes","rerouting_share","Stakes_ic"
"1","ABW","Gibraltar Strait",435494.014789939,1038821448.20667,420483.222897691,962606845.986537,15010.7918922477,76214602.2201317,10365.7585218275,17894439.8680304,7669.88024480158,2695.87827702593,14481098.277532,3413341.59049842,13.665491262794,0.0238022984697676,21.744,4.611,0.109752398244098,0.517557177926626,0.0238022984697676,0.0238022984697676,NA,0.4,NA
"2","ABW","Malacca Strait",435494.014789939,1038821448.20667,420483.222897691,962606845.986537,15010.7918922477,76214602.2201317,180.017635280602,607521.637992691,180.017513224125,0.0001220564769848,607303.156898888,218.481093802844,23.0094166594506,0.000413364200579044,21.744,4.611,0.00190602232886997,0.00898819117739074,0.000413364200579044,0.000413364200579044,NA,0.8,NA
"3","ABW","Panama Canal",435494.014789939,1038821448.20667,420483.222897691,962606845.986537,15010.7918922477,76214602.2201317,133942.288849391,226942188.127632,127004.411231095,6937.87761829622,178728663.53397,48213524.5936614,6.15725370404289,0.307564017645566,21.744,4.611,1.41817768536371,6.68767199968519,0.307564017645566,0.307564017645566,NA,0.4,NA
"4","ABW","Strait of Hormuz",435494.014789939,1038821448.20667,420483.222897691,962606845.986537,15010.7918922477,76214602.2201317,177.312177195126,239245.068792454,155.384090889299,21.9280863058272,92889.7739988237,146355.29479363,11.0138667129907,0.000407151811904126,21.744,4.611,0.00187737700468993,0.00885310899804332,0.000407151811904126,0.000407151811904126,NA,0,NA
"5","ABW","Suez Canal",435494.014789939,1038821448.20667,420483.222897691,962606845.986537,15010.7918922477,76214602.2201317,1580.41981180074,8932919.25934879,1018.0493804952,562.370431305535,6991029.47008389,1941889.7892649,12.8740477445119,0.00362902762868752,21.744,4.611,0.0167334463958781,0.0789095767581813,0.00362902762868752,0.00362902762868752,NA,0.4,NA
"6","ABW","Taiwan Strait",435494.014789939,1038821448.20667,420483.222897691,962606845.986537,15010.7918922477,76214602.2201317,693.56850856203,4839750.23303116,693.56850856203,0,4839750.23303116,0,30.181751804083,0.00159260170061481,21.744,4.611,0.0073434864415349,0.0346295313781685,0.00159260170061481,0.00159260170061481,NA,0.8,NA
"7","AFG","Gibraltar Strait",3928952.71182339,1940796524.58797,1814450.83184607,1442132061.56751,2114501.87997732,498664463.02046,26983.2283417854,51745114.2568642,24016.4898113404,2966.73853044495,35726962.0122155,16018152.2446487,13.665491262794,0.00686779157727828,NA,NA,NA,NA,NA,NA,NA,0.4,NA
"8","AFG","Malacca Strait",3928952.71182339,1940796524.58797,1814450.83184607,1442132061.56751,2114501.87997732,498664463.02046,1160665.06872062,593920061.893017,1129719.53421733,30945.5345032939,476547808.858703,117372253.034314,23.0094166594506,0.295413346469616,NA,NA,NA,NA,NA,NA,NA,0.8,NA
"9","AFG","Panama Canal",3928952.71182339,1940796524.58797,1814450.83184607,1442132061.56751,2114501.87997732,498664463.02046,208.615613861614,927003.641532129,11.7087119672135,196.9069018944,42865.4793760871,884138.162156042,6.15725370404289,5.30970029834737e-05,NA,NA,NA,NA,NA,NA,NA,0.4,NA
"10","AFG","Strait of Hormuz",3928952.71182339,1940796524.58797,1814450.83184607,1442132061.56751,2114501.87997732,498664463.02046,298598.623217316,444369057.494253,214431.005938744,84167.6172785727,394198763.40882,50170294.0854334,11.0138667129907,0.07599954621972,NA,NA,NA,NA,NA,NA,NA,0,NA
