iso3,canal,q,v,q_sea_predict,v_sea_predict,q_sea_import,v_sea_import,q_sea_export,v_sea_export,q_canal,v_canal,q_canal_import,q_canal_export,v_canal_import,v_canal_export,share_q,revenue_USD
ABW,Bab el-Mandeb Strait,456243.89378184534,1355094151.0116692,435494.01478993916,1038821448.2066684,420483.2228976915,962606845.9865367,15010.791892247653,76214602.22013168,1031.795143741319,6479155.4391939975,1009.8669353790148,21.92820836230419,6332581.663306565,146573.77588743274,13.126096746661805,0.0
ABW,Bohai Strait,456243.89378184534,1355094151.0116692,435494.01478993916,1038821448.2066684,420483.2228976915,962606845.9865367,15010.791892247653,76214602.22013168,2521.5341106140054,14673774.961563967,2521.5341106140054,0.0,14673774.961563967,0.0,8.117292212620809,0.0
ABW,Bosporus Strait,456243.89378184534,1355094151.0116692,435494.01478993916,1038821448.2066684,420483.2228976915,962606845.9865367,15010.791892247653,76214602.22013168,650.9152955630552,1065993.6526454329,650.9152955630552,0.0,1065993.6526454329,0.0,6.705622313986158,0.0
ABW,Cape of Good Hope,456243.89378184534,1355094151.0116692,435494.01478993916,1038821448.2066684,420483.2228976915,962606845.9865367,15010.791892247653,76214602.22013168,22.77770634931086,204895.23679826965,22.77770634931086,0.0,204895.23679826965,0.0,6.426963930739,0.0
ABW,Dover Strait,456243.89378184534,1355094151.0116692,435494.01478993916,1038821448.2066684,420483.2228976915,962606845.9865367,15010.791892247653,76214602.22013168,58714.704880513105,210680018.52097148,58038.678813964805,676.026066548302,207762455.7331854,2917562.78778606,10.065191692564454,0.0
ABW,Gibraltar Strait,456243.89378184534,1355094151.0116692,435494.01478993916,1038821448.2066684,420483.2228976915,962606845.9865367,15010.791892247653,76214602.22013168,10365.758521827509,17894439.868030407,7669.880244801582,2695.8782770259268,14481098.277531983,3413341.590498424,13.665491262793955,0.0
ABW,Korea Strait,456243.89378184534,1355094151.0116692,435494.01478993916,1038821448.2066684,420483.2228976915,962606845.9865367,15010.791892247653,76214602.22013168,5829.187752327972,31294772.156085905,5829.177521853876,0.01023047409596,31294269.72255821,502.4335276919811,12.400106810012938,0.0
ABW,Lombok Strait,456243.89378184534,1355094151.0116692,435494.01478993916,1038821448.2066684,420483.2228976915,962606845.9865367,15010.791892247653,76214602.22013168,13.868018782105487,39448.09299567315,13.868018782105487,0.0,39448.09299567315,0.0,8.12265145800382,0.0
ABW,Luzon Strait,456243.89378184534,1355094151.0116692,435494.01478993916,1038821448.2066684,420483.2228976915,962606845.9865367,15010.791892247653,76214602.22013168,3873.935698526476,17806726.019607354,3467.898971263892,406.0367272625838,17362327.748669196,444398.2709381575,1.4136315880596664,0.0
ABW,Magellan Strait,456243.89378184534,1355094151.0116692,435494.01478993916,1038821448.2066684,420483.2228976915,962606845.9865367,15010.791892247653,76214602.22013168,1.7432571398215595,1068.2405015036995,1.7432571398215595,0.0,1068.2405015036995,0.0,0.9352021965435611,0.0
